scenario,role,endpoint,concurrency,maxRequests,successRate,errorRate,throughput,latencyAvgMs,latencyP95Ms,latencyP99Ms,completed,failed,statusCounts
Beban Rendah,siswa,/api/dashboard/siswa,1,30,100.00,0.00,0.22,4443.49,4935.14,4935.14,5,0,200=5
Beban Rendah,guru,/api/guru/dashboard/profil,1,30,100.00,0.00,5.17,175.40,236.37,248.97,30,0,200=30
Beban Rendah,admin,/api/admin/dashboard,1,30,100.00,0.00,0.78,1249.55,2548.77,2548.77,16,0,200=16
Beban Rendah,kantin,/api/kantin/dashboard,1,30,100.00,0.00,0.46,2123.12,2880.24,2880.24,10,0,200=10
Beban Sedang,siswa,/api/dashboard/siswa,5,50,100.00,0.00,1.12,4149.51,4800.23,5065.30,25,0,200=25
Beban Sedang,guru,/api/guru/dashboard/profil,5,50,100.00,0.00,22.38,169.73,201.91,221.44,50,0,200=50
Beban Sedang,admin,/api/admin/dashboard,5,50,100.00,0.00,5.41,844.74,1105.30,1207.85,50,0,200=50
Beban Sedang,kantin,/api/kantin/dashboard,5,50,100.00,0.00,2.67,1792.91,2059.69,2096.68,50,0,200=50
Beban Tinggi,siswa,/api/dashboard/siswa,10,100,100.00,0.00,2.90,3250.97,4428.04,4507.48,70,0,200=70
Beban Tinggi,guru,/api/guru/dashboard/profil,10,100,100.00,0.00,43.65,166.79,233.13,399.06,100,0,200=100
Beban Tinggi,admin,/api/admin/dashboard,10,100,100.00,0.00,8.68,1049.46,1738.52,2183.60,100,0,200=100
Beban Tinggi,kantin,/api/kantin/dashboard,10,100,100.00,0.00,4.73,1977.59,3268.09,3655.45,100,0,200=100
Beban Sangat Tinggi,siswa,/api/dashboard/siswa,20,200,100.00,0.00,4.92,3806.73,4411.00,4546.60,119,0,200=119
Beban Sangat Tinggi,guru,/api/guru/dashboard/profil,20,200,100.00,0.00,87.49,163.35,208.94,222.31,200,0,200=200
Beban Sangat Tinggi,admin,/api/admin/dashboard,20,200,100.00,0.00,7.97,2300.81,6308.28,7510.32,174,0,200=110; 400=64
Beban Sangat Tinggi,kantin,/api/kantin/dashboard,20,200,92.59,7.41,4.26,2620.66,5327.21,6374.59,125,10,200=125